Finnish,Russian
on,является
ei,Нет
ja,и
se,это
hän,он
mitä,что
en,я не делаю
että,что
ole,быть
olen,Я
niin,так
mutta,но
vain,только
sen,его
minä,я
oli,был
jos,если
tämä,этот
sinä,ты
nyt,сейчас
voi,масло
olet,являются
kun,когда
sitä,а
kuin,чем
he,они
täällä,здесь
minun,мой
kaikki,все
hänen,его
et,нет
ovat,являются
hyvä,хороший
olla,быть
minua,мне
sinun,твой
sinua,ты
älä,область
kyllä,Да
sitten,затем
onko,ли
miksi,почему
hänet,ему
mitään,что-либо
hei,Привет
mikä,Что
siitä,оттуда
kiitos,Спасибо
miten,как
ne,они
olisi,должен
joka,который
minulle,мне
tässä,здесь
kanssa,с
tai,или
missä,где
pitää,держать
tiedä,знать
minulla,мне
tuo,что
jotain,что-нибудь
minut,мне
ollut,был
sinulle,для тебя
me,мы
sinut,Тебе
häntä,ему
oletko,Ты
tämän,этот
kuka,ВОЗ
meidän,наш
olemme,являются
vielä,еще
hyvin,очень
tänne,здесь
anteeksi,Извини
jo,уже
tiedän,Я знаю
koska,потому что
tehdä,делать
ehkä,возможно
täytyy,должен
anna,позволять
tule,Приходить
haluan,Я хочу
pois,выключенный
emme,мы - нет
kuinka,как
siellä,там
herra,Мистер.
takaisin,назад
tätä,этот
sinulla,у вас есть
paljon,много
selvä,прозрачный
eivät,нет
saa,погода
tulee,приходит
siinä,там
juuri,только
ennen,до
yksi,один
pitäisi,должен
enää,больше
te,ты
koskaan,всегда
eikö,нет
aina,всегда
mennä,идти
mistä,откуда
meillä,в нашем доме
kaksi,два
vai,или
koko,размер
joten,так
aivan,верно
mene,идти
näin,таким образом
no,Хорошо
joku,кто-то
halua,желание
tästä,отсюда
hänelle,ему
oikein,правильно
mies,мужчина
tietää,знать
olin,Я был
todella,Действительно
kunnossa,хорошо
aika,время
olette,являются
teet,делать
kuten,нравиться
voin,масло
totta,истинный
siihen,это
entä,что
edes,по меньшей мере
ulos,вне
vähän,маленький
hyvää,хороший
aikaa,время
katso,Смотреть
voit,ты можешь
isä,отец
kai,вероятно
kukaan,любой
pahoillani,извини
haluat,вы хотите
siis,поэтому
kiinni,Закрыто
pidä,держать
heidän,их
itse,себя
minusta,мне
ihan,довольно
tulla,становиться
noin,о
päästä,будет выпущен
teidän,Ваш
vaan,но
äiti,Мама
kaiken,все
sillä,для
myös,также
kerro,рассказывать
eikä,и не
tee,чай
sanoi,сказал
mennään,пойдем
mukaan,к
ettei,чтобы
tänään,сегодня
sinusta,о вас
odota,Ждать
meitä,нас
hänellä,на его или ее
liian,слишком
niitä,их
nämä,эти
ota,брать
